,vegetables,fruits,legumes_and_tubers,beverages_and_drinks,fish_and_seafood,oils_and_fats,condiments_and_spices,grains_and_cereals,rice_products,dairy_products,meat_products,pastries,breads,eggs
250,,,,,,,,,,,SEBO DE CARNERO,,,
251,,,,,,,AJI PANCA MOLIDO EN POLVO,,,,,,,
252,,,,,,,,HARINA DE CAMOTE ENVASADO,,,,,,
253,,,,,,,,,,,,,CROISSANT PANES RELLENOS,
254,,,,AGUA DE MANZANA PREPARADA,,,,,,,,,,
255,,,,,,,,HOJUELA DE MAIZ FRITO ENV,,,,,,
256,,,,,,,,,,,,,PAN DE MOLDE DE TRIGO,
257,,,,,,,AJI PAPRIKA MOLIDO,,,,,,,
258,,,,,,,CONDIMENTO MOLIDO,,,,,,,
259,,,,AGUA OXONIZADA,,,,,,,,,,
260,,,,,,,"AJI PANCA,ACHIOTE,AJOS SE",,,,,,,
261,,,,,,,,HARINA DE MAIZ TOSTADO,,,,,,
262,,,,,,,,,,,HAMBURGUESA DE POLLO PARA,,,
263,,,,,,,,,,,CARNE GUISO DE RES,,,
264,,,,,,,COMINO PIMIENTA  MOLIDO E,,,,,,,
265,,,FRIJOL MANTEQUILA,,,,,,,,,,,
266,,,,,,,AJI PANCA MOLIDO ENVASADA,,,,,,,
267,,,,,,,,,,,CUELLO DE POLLO PARA PERR,,,
268,,,,,,,,,,,,,PAN MOQUEGUA,
269,,,,,,,,MAIZ PLOMITO,,,,,,
270,,,,,,,,,,,HARINA DE CEB PARA PERRO,,,
271,,,,,,,AJI PANCA A GRANEL,,,,,,,
272,,,,,,,,,,,ALFAJORES,,,
273,,,,,,,,,,,GUALDRAPA DE RES,,,
274,,,,,,,,,,,HIGADO PARA PERRO,,,
275,,,,,,,,,,,QUESO FRESCO AHUMADO,,,
276,,,,,,,,,,,MONDONGO DE RES PRECOCIDO,,,
277,PAPA MORADA,,,,,,,,,,,,,
278,,,FRIJOL CAPSULA SECO,,,,,,,,,,,
279,,,,,,,,HARINA SIN PREPARAT A GRA,,,,,,
280,,,,,,,AJI AMARILLO MOLIDO ENVAS,,,,,,,
281,,,,,,,ORÉGANO MOLIDO A GRANEL,,,,,,,
282,,,,,,,,HARINA DE LINAZA A GRANEL,,,,,,
283,,,,,,,,,,,,,PAN COLIZA PARA MASCOTA,
284,,,,,,,,,,,,,TORTILLAS DE PAN,
285,,,,,,,,,,,,,PAN ARABE,
286,,,,,PESCADO TILAPIA,,,,,,,,,
287,,,,PERA DE AGUA,,,,,,,,,,
288,,,,,,,,,,,,,AJÍ PANCA MOLIDO ESPECIAL,
289,,,,AGUA DE MEZA,,,,,,,,,,
290,,,,,,,,,,,,,PAN JAMÓN,
291,,,,,,,,,,,,,Pan Corriente o Común,
292,,,,,,,,CHUFLA DE MAIZ PREPARADO,,,,,,
293,,,,,,,,,,,,,PAN DE QUESO,
294,,,,,PESCADO ACARAHUASU SALADO,,,,,,,,,
295,,,,,,,,,,,ENTREPIERNA DE POLLO,,,
296,,,,AGUA DE MESA GASIFICADA,,,,,,,,,,
297,,,,,,,,,,,LECHE FRESCA ENVASADA (BO,,,
298,,,,,,,,,,,POLLO BROSTHER,,,
299,,,,,,,,,,,,,PAN BOLLITO,
300,,,,,,,,,,,HARINA DE MAIZ DE POLLO,,,
301,,,,AGUA TRATADA ENVASADO,,,,,,,,,,
302,,,,,,,,,,,,,PAN DE MOLDE INTEGRAL MOL,
303,,,,,PESCADO MERO,,,,,,,,,
304,,,,,,,,,,,CARNE DE RES SANCOCHADO,,,
305,,,,,,,KION MOLIDO ENVASADO,,,,,,,
306,,,,,,,,,,,PESCADO BATEA FRESCA,,,
307,,,,,,,AJI DE POLLERIA,,,,,,,
308,,,,,PESCADO TUCUNARE SECO SAL,,,,,,,,,
309,SARANDAJA VERDE CON CÁSCA,,,,,,,,,,,,,
310,,,,,,,,HARINA DE ALGARROBO,,,,,,
311,,,,,,,,MAIZ BLANCO MOTE,,,,,,
312,ARVEJA VERDE EN CASCARA,,,,,,,,,,,,,
313,,,,,,,AJI PIMIENTO MOLIDO ENVAS,,,,,,,
314,,,,,,,,,,,,,PAN PUNTA,
315,,,,,PESCADO SALADO LLAMBINA,,,,,,,,,
316,,,,,,,,,,,,,PAN REGIONAL,
317,,,,,,,,,,,PATITAS DE POLLO A LA PAR,,,
318,,,,,,,,HARINA  DE QUINUA,,,,,,
319,,,,,,,,,,,ARROZ CHAUFA FON POLLO FR,,,
320,,,FRIJOL SARANDAJA,,,,,,,,,,,
321,,,,,,,,,,,,,PAN ARTESANAL DE AVENA,
322,,,,,,,,,,,,,EMPANADAS,
323,,,,,,,,,,,CARNE DE PACO,,,
324,,,,,,,ESPINACA EN RAMA,,,,,,,
325,PAPA MARIBA,,,,,,,,,,,,,
326,,,,,,,,MAIZ DE PANCA,,,,,,
327,,,,,,,,MARLO DE MAIZ,,,,,,
328,,,,,,,,,,,,,PAN  DE LEÑA,
329,,,,,,,,,,,ATUN PARA PERRO,,,
330,,,,,,,,,,,CARNE PICADA,,,
331,,,,,,,,,,,,,EMPANAS,
332,,,,,,,,,,,FRIJOL CHICLAYO FRESCO,,,
333,,,,,,,,,,,LECHE EN POLVO PARA PERRO,,,
334,,,,,,,,,,,MENUDENCIA DECRES PARA PE,,,
335,,,,,,,,,,,,,PAN MISHTI,
336,,,,,,,HIERBA DE CÁNCER EN RAMA,,,,,,,
337,,,,,,,TILO EN RAMA PARA INFUSIO,,,,,,,
338,,,,,,,,,,,,,PANCA DE CHOCLO,
339,,,,,,,,HARINA DE YUCA A GRANEL,,,,,,
340,FILTRANTE DE TE VERDE,,,,,,,,,,,,,
341,,,,,,,,MOTE DE MAIZ COCINADO,,,,,,
342,,,,,PESCADO ARAHUNA SECO,,,,,,,,,
343,,,,,,,,,,,,,PANCA SIN PICANTE MOLIDO,
344,,,,,PESCADO CABALLA SALADA,,,,,,,,,
345,,,,,,,,,,,,,PAN CUAY,
346,,,,,,,,,,,REGRESCO DE CHICHA MORADA,,,
347,,,,,PESCADO CHINA,,,,,,,,,
348,,,,,,,CREMA DE AJI,,,,,,,
349,,,,,,,,,,,HIGADO DE CARNERO,,,
350,,,,,,,,,,,CALDO DE RES,,,
351,,,,,,,,,,,POLLO PARA MASCOTA,,,
352,,,FRIJOL CHUNCHO,,,,,,,,,,,
353,,,,,PESCADO SHUYO,,,,,,,,,
354,,,,,,,,,,,JAMON DE POLLO,,,
355,,,,,,,,,,,HÍGADO DE CARNERO,,,
356,PAPA COMPISS,,,,,,,,,,,,,
357,,,,,,,AJI PANCA SECA MOLIDA ENV,,,,,,,
358,,,,,,,AJI PANCA ESPECIAL ENVASA,,,,,,,
359,FRIJOL DE PALO  VERDE EN,,,,,,,,,,,,,
360,,,,,,,,,,,LECHE FRESCA LINGTH EN CA,,,
361,,,,,,,,,,,,,PAN DULCE SANDIA,
362,,,,,,,,,,,MENUDENCIA DE POLLO PRA A,,,
363,,,,,,,LAMPASO EN RAMA PARA INFU,,,,,,,
364,,,,,,,,,,,POLLO AL CHIMICHURRI,,,
365,,,FRIJOL DE PALO DE SECO,,,,,,,,,,,
366,PAPA DE COLOR NEGRA,,,,,,,,,,,,,
367,,,FRIJOL SARANDAJA SECO,,,,,,,,,,,
368,,,FRIJOL CHINO SECO,,,,,,,,,,,
369,,,,,,,,,,,FRESA PICADA,,,
370,PAPA COCTEL,,,,,,,,,,,,,
371,SARANDAJA VERDE,,,,,,,,,,,,,
372,,,FRIJOL CABALLERO SECO,,,,,,,,,,,
373,,,,,,,,,,,ESTOFADO DE POLLO,,,
374,,,,,,,,,,,MENUDENCIA PARA PERRO,,,
375,,,,,,,,HARINA SIN PREPARAR SUELT,,,,,,
376,,,,,,,,,,,PESCADO TRUCHA FRESCO,,,
377,,,,,,,,HARINA PREPARADA DE TRIGO,,,,,,
378,,,,,,,AJI PANCA EN POLVO,,,,,,,
379,,,FRIJOL CARAOTA,,,,,,,,,,,
380,,,,,,,,MAIZ CHEJCHE,,,,,,
381,,,,,,,,,,,,,PAN MOLLETES,
382,,,,,,,,,,,,,PAN MANTEQUILLA,
383,,,,,PESCADO PEJE  BLANCO,,,,,,,,,
384,,,,,,,,,,,ALITA  DE POLLO,,,
385,,,,,,,,,,,PATE DE CARNE ENVASADO PA,,,
386,,,,,,,,,,,,,PAN ITALIANO,
387,,,,,,,,,,,ARROZ PARA PERRO,,,
388,,,,,,,,,,,SACHIPOLLO,,,
389,,,,,,,,,,,ARROZ CON POLLO PREPARADO,,,
390,PAPA A LA HUANCAINA PREPA,,,,,,,,,,,,,
391,,,,,,,,,,,,,PAN DE MOLDE,
392,,,,,PESCADO SHAMBIRA,,,,,,,,,
393,,,,,,,,,,,TRIPA DE POLLO PARA PERRO,,,
394,,,,,,,,,,,ENCUENTRO DE POLLO,,,
395,,,,,,,,,,,LECHE FRESCA ENVASADA,,,
396,,,,,,,HINOJO EN RAMA PARA INFUS,,,,,,,
397,,,,,,,AZAFRÁN MOLIDO,,,,,,,
398,,,,,,,YAHUAR CONCCA EN RAMA PAR,,,,,,,
399,,,,,,,,,,,,,FLOR  DE PANTI PARA INFUS,
400,,,FRIJOL GRANDE SECO,,,,,,,,,,,
401,,,,,,,,HARINA DE HABAS A GRANEL,,,,,,
402,,,,AGUA ENVASADA TRATADA,,,,,,,,,,
403,PAPA HUACHOY,,,,,,,,,,,,,
404,,,,,,,,HARINA DE MAZ MORADO,,,,,,
405,CANCATE VERDE,,,,,,,,,,,,,
406,,,,,,,,HARINA DE MAIZ MOTE,,,,,,
407,,,,,,,,,,,FRESAS,,,
408,,,,,,,,,,,POLLO A LA PLANCHA,,,
409,,,,,,,,,,,,,PAN TORTILLAS,
410,TE VERDE CON PIÑA FILTRAN,,,,,,,,,,,,,
411,ESPARRAGOS VERDES,,,,,,,,,,,,,
412,,,,,,,,,,,,,PAN  CACHITO,
413,,,,,,,,,,,CAMOTE PARA PERROS,,,
414,,,,,,,,,,,,,PAN CUMPADO,
415,,,,,,,,,,,,,PAN MOQUEGUANO,
416,,,,,,,,,,,,,PAN CHARQUI,
417,,,,,,,,,,,BOFE DE RES,,,
418,,,,,,,,,,,LECHE FRESC DE VACA EN BO,,,
419,,,,,PESCADO MOJARRA,,,,,,,,,
420,,,,,,,,,,,AJI DE POLLO A GRANEL,,,
421,,,,,,,,,,,CESINA DE RES CHACTADA,,,
422,,,,,,,,,,,LECHE FRESCA ENVASADA CAJ,,,
423,,,,,PESCADO TRAMBOLLO,,,,,,,,,
424,,,,,,,,,,,CARNE DE RES SUAVE,,,
425,,,,,PESCADO DORADO,,,,,,,,,
426,,,,,,,PREPARADO DE AJI PACA DON,,,,,,,
427,,,,,PESCADO CADE,,,,,,,,,
428,,,,,,,,,,,,,PANISARA,
429,,,,,,,TIQUI TIQUI EN RAMA PARA,,,,,,,
430,,,,,,,,,,,ADEREZO PARA POLLO ASADO,,,
431,,,,,,,,,,,PANZA DE RES,,,
432,,,,,,,ORÉGANO EN RAMAS,,,,,,,
433,PAPA HUACHUY,,,,,,,,,,,,,
434,,,,,,,,,,,,,PAN REGIONAL DE RETES,
435,,,,,,,,CHICHA DE MAIZ FERMENTADO,,,,,,
436,,,,,,,,,,,HUESOS DE POLLO PARA PERR,,,
437,,,,,,,CAFE MOLIDO A GRANEL,,,,,,,
438,PAPA IMILLA NEGRA,,,,,,,,,,,,,
439,,,,,,,,HARINA DE  HABA AGRANEL,,,,,,
440,,,,,,,,,,,,,PAN MISHTISHONGO,
441,,,,,PESCADO CHUPADORA,,,,,,,,,
442,CHILENO VERDE,,,,,,,,,,,,,
443,,,,,,,CHOCHO MOLIDO,,,,,,,
444,,,,,,,,CONCENTRADO DE MAIZ,,,,,,
445,,,,,,,,,,,MENUDENCIAS DE RES,,,
446,,,,,,,,,,,CESINA DE RES,,,
447,,,,,,,HUALLHUA EN RAMA PARA INF,,,,,,,
448,,,,,,,,,,,PESCADO GAMITANA FRESCO,,,
449,,,,AGUA DE TAMARINDO,,,,,,,,,,
450,,,,,,,,,,,,,PAN CHAQUIPA,
451,,,,,PESCADO ACARAHUASU SECO,,,,,,,,,
452,,,FRIJOL PINTO SECO,,,,,,,,,,,
453,LENTEJA VERDE EN CÁSCARA,,,,,,,,,,,,,
454,,,,,,,,,,,,,PAN MEDIA LUNA,
455,,,,,,,,HARINA DE MAIZ AMARILLO,,,,,,
456,TALLARIN VERDE,,,,,,,,,,,,,
457,,,,,,,RUDA EN RAMA PARA INDPFIS,,,,,,,
458,,,,,,,GUAYUSA EN RAMA PARA INFU,,,,,,,
459,,,,,,,BOLDO EN RAMA PARA INFUSI,,,,,,,
460,,,,,,,,,,,REFRESCO CEBADA,,,
461,,,,,PESCADO GAMITANA SECO,,,,,,,,,
462,,,,,,,,,,,,,PAN A LA LEÑA,
463,,,,,,,,,,,,,PAN INTEGRAL MOLDE,
464,,,,,,,,PANCA DE MAIZ PARA CUY,,,,,,
465,,,,AGUA TRATA ENVASADA,,,,,,,,,,
466,,,,,,,HIERBA COMBINA EN RAMA,,,,,,,
467,,,,,,,,,,,MENUDENCIA DE POLLO  PARA,,,
468,PAPA A LA HUANCAINA,,,,,,,,,,,,,
469,FRIJOL VERDE EN CASCARA,,,,,,,,,,,,,
470,,,,,,,CULANTRO MOLIDO ESPECIAL,,,,,,,
471,,,,,,,,,,,POLLO ROSTIZADO,,,
472,,,,,,,,CHICHA DE MAIZ PREPARADA,,,,,,
473,HABA VERDE DESGRANADA,,,,,,,,,,,,,
474,,,,,,,,,,,CARNE DE SAJINO SALADO,,,
475,,,,,,,,,,,COMIDA PARA PERRO ENLATAD,,,
476,,,,AGUA DE ÑMESA,,,,,,,,,,
477,FRIJOL HABITAS VERDE CON,,,,,,,,,,,,,
478,,,,,,,,,,,,,PAN ROLI,
479,,,,,,,,,,,CARNE LOMO,,,
480,,,,,,,,MAZAMORRA DE HARINA,,,,,,
481,,,,,,,,,,,LECHE RECONSTITUIDA FRESC,,,
482,,,FRIJOL SANCOCHADO,,,,,,,,,,,
483,,,,,,,,,,,CUELLITO DE POLLO,,,
484,,,,,,,COMINO PIMIENTA MOLIDO A,,,,,,,
485,PAPA DULCE,,,,,,,,,,,,,
486,,,,,,,,SIETE HARINAS ENVASADA,,,,,,
487,ARVEJA VERDE CON ZANAHORI,,,,,,,,,,,,,
488,,,,,,,,,,,MENUDENCIA DE POLLO BROAS,,,
489,,,,,,,,,,,ESPINAZOS DE POLLO PARA M,,,
490,,,,,,,,,,,PATA DE RES PARA PERRO,,,
491,,,,,,,,HARINA DE TRIGO ENVASADO,,,,,,
492,,,,,,,,,,,,,PAN CANTEÑO,
493,,,,,,,,,,,NAGGE DE POLLO,,,
494,,,,,PESCADO JUREL SALADO,,,,,,,,,
495,,,,,,,,,,,CECINA CHACTADA DE RES,,,
496,,,,,,,,,,,POLLO AL HORNO CON ARROZ,,,
497,,,,,,,,,,,,,PAN TOLETE,
498,,,,,,,,,,,,,AJÍ PANCA MOLIDO,
499,,,,,PESCADO ISPI,,,,,,,,,
500,,,,,,,,,,,LENGUA DE RES PRECOCIDO,,,
501,,,,,,,,,,,CARNE DE ARMADILLO,,,
502,,,,,,,,,,,MONDONGO DE CARNERO,,,
503,,,,,,,,,,,,,PANCETA,
504,,,,,,,PALILLO  MOLIDO ENVASADO,,,,,,,
505,,,,,,,,,,,,,PAN LEÑA,
506,,,,,PESCADO LIZA SECO,,,,,,,,,
507,,,,,,,,,,,EMPANADA DE POLLO,,,
508,,,,,,,CAFE CON CEBADA MOLIDO EN,,,,,,,
509,,,,,,,,MAIZ CUATES,,,,,,
510,,,,,,,PIMPINELA EN RAMA PARA IN,,,,,,,
511,,,FRIJOL PRECOCIFO A GRANEL,,,,,,,,,,,
512,,,,,,,AJI MISQUIHUCHO,,,,,,,
513,,,,,,,,,,,CRECIMIENTO PARA POLLO,,,
514,,,,,,,AJI DE COLOR A GRANEL,,,,,,,
515,,,,,,,,MAIZ PELO MOTE,,,,,,
516,,,,,,,"AJI PANCA,ACHIOTE ENTERO,",,,,,,,
517,,,,,,,,MAIZ ENGORDE,,,,,,
518,PAPA,,,,,,,,,,,,,
519,,,,,,,AJI OJITO DE PESCADO,,,,,,,
520,,,,,,,,,,,PATE DE CARNE PARA MASCOT,,,
521,,,,,,,,,,,,,PAN DE MISTISHONGO,
522,,,,,,,,MAIZ CHALA PARA CUY,,,,,,
523,,,,,,,,,,,CARNE  DE RES PICADA,,,
524,TÉ VERDE EN CAJA,,,,,,,,,,,,,
525,,,,,,,,HARINA DE LAS SIETE SEMIL,,,,,,
526,,,FRIJOL HUASCA POROTO,,,,,,,,,,,
527,,,,,,,WIRO WIRO EN RAMA PARA IN,,,,,,,
528,,,,,,,,,,,ARROZ CON POLLO Y CARAPUL,,,
529,,,,,,,,,,,,,PAN CROISSANT RELLENO CON,
530,,,,,,,,HARINA DE MAIZ ENVASADA,,,,,,
531,,,,,,,,,,,,,PAN DE SANDIA,
532,,,FRIJOL POROTO,,,,,,,,,,,
533,,,,,,,HIERBA BUENA EN RAMAS PAR,,,,,,,
534,,,,,,,,,,,,,PAN HABURGUESA,
535,,,,,,,AJI AMARILLO MOLIDO,,,,,,,
536,,,,,,,,,,,CARNE CUY,,,
537,,,,,,,,,,,PATA DE RES PRECOCIDO A G,,,
538,,,,,,,,HARINA DE KAÑIGUA A GRANE,,,,,,
539,,,,,,,,,,,LECHE PARA PERROS,,,
540,,,,,,,KIKO EN RAMA PARA INFUSIO,,,,,,,
541,,,,,,,,MAZAMORRA DE MAIZ PREPARA,,,,,,
542,,,,,,,ROCOTO MOLIDO ENVASADO,,,,,,,
543,,,,GALLETA DE AGUA  A GRANEL,,,,,,,,,,
544,,,,,,,,,,,,,CHAMPAS DE PAN DULCE CON,
545,PAPA CHASCA,,,,,,,,,,,,,
546,,,,,,,,MAIZ CANCHA,,,,,,
547,,,,,,,,PANCA DE MAIZ,,,,,,
548,,,,,,,HIERBA EN RAMA COMBINADA,,,,,,,
549,,,,,,,,,,,VERDURAS PARA PERRO,,,
550,MANZANILA ANIS TE VERDE F,,,,,,,,,,,,,
551,,,,,,,OREGANO MOLIDO SECO ENVAS,,,,,,,
552,,,FRIJOL RECLINA,,,,,,,,,,,
553,,,,,PESCADO CARACHARAMA,,,,,,,,,
554,,,FRIJOL NEGRO,,,,,,,,,,,
555,,,,,,,,,,,CEBO DE RES PARA PERRO,,,
556,,,,,PESCADO MISMIS,,,,,,,,,
557,,,,,,,,,,,,,PAN DE ARROZ,
558,,,,,,,AJI MIRASOL MOLIDO,,,,,,,
559,,,,,,,AJI EN PANCA MOLIDO  A GR,,,,,,,
560,,,,,,,,MAIZ PANCA,,,,,,
561,,,,,,,,HARINA INTEGRAL ENVASADA,,,,,,
562,,,,,,,,,,,FRIJO DE PALO FRESCO,,,
563,,,,,,,YANTEN EN RAMA PARA INFUS,,,,,,,
564,,,,,,,,,,,,,PAN VARIADA,
565,,,,,NAGETS DE PESCADO,,,,,,,,,
566,,,,,,,RONERO EN RAMA PARA INFUS,,,,,,,
567,,,,,,,,MAIZ CHECCHELO,,,,,,
568,PESCADO FRITO CON PAPAS,,,,,,,,,,,,,
569,,,,,,,LANCHE EN RAMA PARA INFUS,,,,,,,
570,,,,,,,,,,,,,AJÍ PANCA MOLIDO (ESPAMKI,
571,,,,,,,COMINO CON PIMENTA MOLIDO,,,,,,,
572,PAPA PERUANITA,,,,,,,,,,,,,
573,,,,AGUA DE COCONA,,,,,,,,,,
574,,,,,,,,,,,CHICHARRON DE POLLO,,,
575,,,,,,,,HARINA DE ALMENDRAS,,,,,,
576,,,,,,,,,,,,,EMPANADA DE QUESO,
577,,,FRIJOLITO CHINO,,,,,,,,,,,
578,,,FRIJOL DE PALO PRECOCIDA,,,,,,,,,,,
579,,,,,,,,,,,PAN TRES ESQUINAS,,,
580,,,,,,,,,,,,,PAN DE LINAZA,
581,,,,,,,,,,,,,FRIJOL PANAMITO PREPARADO,
582,,,,,,,ACHIOTE MOLIDO AGRANEL,,,,,,,
583,,,,,,,,,,,GRASA DE POLLO,,,
584,,,,,,,,,,,HÍGADO DE CARNERO BLANCO,,,
585,,,,,,,,,,,HARINA DE SOYA PARA PERRO,,,
586,,,,,,,,,,,,,PAN FRANCÉS,
587,,,,,,,,,,,PESCADO FRESO CHAUCHILLA,,,
588,ALMIDON DE PAPA,,,,,,,,,,,,,
589,,,,,,,,Harina de Trigo (granel),,,,,,
590,PAPA FRITA AGRANEO,,,,,,,,,,,,,
591,,,,,,,,,,,TRIPITA DE POLLO,,,
592,,,,,,,AJI AMARILLO,,,,,,,
593,,,,,,,,,,,PATITTAS DE POLLO,,,
594,,,,,,,,MAIZ PLOMO,,,,,,
595,,,,,PESCADO GAMITANA SECA,,,,,,,,,
596,,,,,,,,,,,CABEZA DE LOMO DE RES,,,
597,,,,,,,,,,,,,PAN LECHE,
598,PAPA HUEVO INDIO,,,,,,,,,,,,,
599,,,,,,,,,,,,,PAN TOSTADO A GRANEL,
600,,,,,,,COMINO PIMIENTA MOLIDO SE,,,,,,,
601,,,,,,,,HARINA SIN PREPARAR A GRA,,,,,,
602,,,,,,,COLA DE CABALLO EN RAMA,,,,,,,
603,VAINITA VERDE EN CASCARA,,,,,,,,,,,,,
604,,,,,PESCADO RAYA SECA,,,,,,,,,
605,,,,,,,,,,,,,PAN CANASTA,
606,,,,,,,AJI ESPECIAL  MOLIDO ENVA,,,,,,,
607,,,,,,,,,,,CARNE DE RES PULPA PICADO,,,
608,,,,,,,,ROSQUITAS DE HARINA,,,,,,
609,JUGO DE PAPAYA,,,,,,,,,,,,,
610,,,,,,,,,,,,,PAN AL AJO,
611,,,,,,,CULANTRO MOLIDO CON ESPIN,,,,,,,
612,,,,,PESCADO PEJESAPO,,,,,,,,,
613,,,,,,,,,,,,,EMPANADA RELLENA DE ATUN,
614,,,,,,,,,,,,,PAN CORRIENTE  O COMUN,
615,,,,,,,,,,,PAN TRES PUNTAS,,,
616,,,,,,,,,,,PESCADO BARBON FRESCO,,,
617,PAPAS PRECOCIDAS,,,,,,,,,,,,,
618,,,,,,,,,,,CARNE DE RES PARA LOMO,,,
619,,,,,PESCADO AGUJA,,,,,,,,,
620,,,,,,,,,,,MENIDENCIAVDEBPOLLO,,,
621,,,,,,,CHINCHO EN RAMA,,,,,,,
622,,,,,,,OREGANO EN RAMAS,,,,,,,
623,,,,,,,,,,,ENSALDA CITRICA CON POLLO,,,
624,,,,,,,ORÉGANO MOLIDO SECO ENVAS,,,,,,,
625,,,,,,,,,,,,,PAN CORONA,
626,,,,,,,,,,,BAZO DE RES,,,
627,,,,,,,,HARINA DE CHOCHOCA,,,,,,
628,,,,,,,,MAIZ BLANCO SIN PELAR MOT,,,,,,
629,,,,,PESCADO CHAMBINA,,,,,,,,,
630,,,,,,,AJI PAPRICA ENTERO,,,,,,,
631,,,FRIJOL COCACHO,,,,,,,,,,,
632,,,,,,,CEDRON EN RAMA PARA INFUS,,,,,,,
633,,,,,,,,,,,,,PANI SARA EN RAMA,
634,,,,,,,APIO EN RAMAS PARA INFUSI,,,,,,,
635,,,,,,,,,,,CUELLO DE POLLO AHUMADO,,,
636,,,,,CABEZAS DE PESCADO,,,,,,,,,
637,,,,,,,LINAZA EN RAMA PARA INFUS,,,,,,,
638,,,,,,,AJI PANCA SIN PICANTE ENV,,,,,,,
639,,,,,FILETE DE PESCADO TRUCHA,,,,,,,,,
640,,,,,,,MENTA EN RAMA PARA INFUSI,,,,,,,
641,,,FRIJOL SHINGO,,,,,,,,,,,
642,,,,,,,,,,,BOFE DE RES PARA PERRO,,,
643,,,,,,,,,,,PATITAS DE POLLO FRITAS,,,
644,,,,,PESCADO BOQUICHICO SECO S,,,,,,,,,
645,,,,,PESCADO DONCELLA SECO,,,,,,,,,
646,,,,,,,,,,,CARNE DE  RES PARA GUISO,,,
647,,,,,,,CHINCHO EN RAMA PARA COMI,,,,,,,
648,,,FRIJOLITO CHINO (NACIDO),,,,,,,,,,,
649,,,,,,,AJI MISHCHIHUCHO,,,,,,,
650,,,,AGUAJE COCINADO,,,,,,,,,,
651,,,,,PESCADO SECO PIRO,,,,,,,,,
652,,,,,,,,,,,,,PAN MIKA,
653,,,,AGUA DE MANZANA,,,,,,,,,,
654,,,,AGUA DE MESA SIN GAS,,,,,,,,,,
655,,,,,,,,,,,,,PAN SURTIDO,
656,,,,REFESCO DE AGUAJE,,,,,,,,,,
657,,,,,,,,,,,ARROZ CON POLLO DORADO Y,,,
658,,,,,,,,,,,HAMBURGUESA DE POLLO,,,
659,,,,,,,AJI PAPRIKA MOLIDO A GRAN,,,,,,,
660,PAPA CARUMEÑA,,,,,,,,,,,,,
661,,,,,,,,,,,,,PAN AGUA,
662,,,,,,,,,,,BOFE PARA PERRO,,,
663,,,,,PESCADO CABRILLA SECA,,,,,,,,,
664,,,,,,,,HARINA DE MANDIOCA A GRAN,,,,,,
665,,,,,,,,,,,ARROZ PARTIDO PARA PERRO,,,
666,,,,,,,,,,,CARNE DE RONSOCO,,,
667,,,,,,,SAZONADOR TUCO MOLIDO ENV,,,,,,,
668,,,,,,,MIXTURA DE MOLIDOS,,,,,,,
669,,,,,,,,,,,,,PAN CROSAINT,
670,,,,,,,,,,,,,PAN CON TORREJA,
671,,,,,,,,,,,MENUNDENCIA DE RES,,,
672,,,,,,,MANI TOSTADO MOLIDO A GRA,,,,,,,
673,,,,,,,HIERBAS EN RAMA PARA INFU,,,,,,,
674,,,,,,,,PALOMITAS DE MAIZ,,,,,,
675,,,,,,,,,,,SANGRESITA,,,
676,FRIJOL DE PALO DE VERDE,,,,,,,,,,,,,
677,,,,,,,AJI AMARRILLO Y AJI ESPEC,,,,,,,
678,,,,,,,PALILLO MOLIDO  ENVASADO,,,,,,,
679,,,,,,,,,,,REFRESCO DE TAMARINDO,,,
680,,,,,PESCADO CABRILLA VOLADORA,,,,,,,,,
681,,,,,,,,,,,,,PANCA,
682,,,,AGUA  DE MESA SIN GAS,,,,,,,,,,
683,,,,,,,,MAIZ MOTE BLANCO,,,,,,
684,,,,,,,,HARINA CAÑIHUACO,,,,,,
685,,,,,,,,,,,,,PAN ESTRELLA,
686,,,,,,,,MAIZ JAENO,,,,,,
687,,,FRIJOL CAMANEJO,,,,,,,,,,,
688,,,FRIJOL CARAOTA NEGRO,,,,,,,,,,,
689,,,,,PESCADO BACALAO,,,,,,,,,
690,,,,,,,,,,,,,PANIZARA EN RAMA PARA INF,
691,PAPAS FRITAS,,,,,,,,,,,,,
692,,,,,,,,,,,,,PAN DE PUNTA,
693,,,,,,,,,,,POLLO EVISERADO,,,
694,,,,,,,,,,,TRIPAS DE CARNERO,,,
695,,,,,,,,HARINA PARA PERR,,,,,,
696,,,,,,,,,,,TALLARIN DE POLLO,,,
697,,,,,,,,,,,CARNE DE RES,,,
698,,,,,,,CREMA DE ROCOTO MOLIDO,,,,,,,
699,,,,,,,,HARINA DE TRIGO TOSTADO,,,,,,
700,PAPA RELLENA CON MAYONESA,,,,,,,,,,,,,
701,,,,,,,,,,,,,PAN CRIOLLO,
702,,,,,PESCADO CHARELA,,,,,,,,,
703,PAPA COMPIS,,,,,,,,,,,,,
704,,,,,,,,,,,HUESO DE POLLO PARA LOS P,,,
705,,,,,,,,HARINA DE KAÑIGUA,,,,,,
706,,,,,,,,,,,,,PANISARA EN RAMA PARA  IN,
707,,,,,,,,,,,,,PAN DE MANTECA,
708,PAPA CHOLANDAY,,,,,,,,,,,,,
709,,,,,,,,,,,ARROZ CON POLLO FRITO Y P,,,
710,,,,,,,CHACHACOMA EN RAMA PARA I,,,,,,,
711,,,FRIJOL CANARIO PREPARADO,,,,,,,,,,,
712,,,,,,,,,,,SOPA DE PELLEJO DE POLLO,,,
